X,ID,Name,Age,Nationality,Overall,Potential,Club,Wage,PreferredFoot,InternationalReputation,WeakFoot,SkillMoves,BodyType,Position,JerseyNumber,Height,Weight,ST,CF,W,CAM,CM,OM,CDM,WB,CB,FB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
17,194765,A.Griezmann,27,France,89,90,Atl’©ticoMadrid,145,Left,4,3,4,Lean,CAM,7,69,161,86,87,87,86,80,86,67,70,61,67,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48
31,190460,C.Eriksen,26,Denmark,88,91,TottenhamHotspur,205,Right,3,5,4,Lean,CAM,10,71,168,79,84,84,86,85,85,71,71,57,66,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22
61,201942,RobertoFirmino,26,Brazil,86,87,Liverpool,195,Right,3,4,4,Lean,CAM,9,71,168,83,84,83,84,82,83,73,72,67,69,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42
66,189596,T.M’_ller,28,Germany,86,86,FCBayernM’_nchen,135,Right,4,4,3,Lean,CAM,13,73,165,82,82,81,82,79,81,66,68,59,66,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44
74,176635,M.’_zil,29,Germany,86,86,Arsenal,190,Left,4,2,4,Lean,CAM,10,71,168,75,81,82,84,78,82,56,57,40,52,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19
80,216594,N.Fekir,24,France,85,89,OlympiqueLyonnais,92,Left,3,3,4,Stocky,CAM,18,68,165,79,83,84,83,77,83,60,62,50,57,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25
96,181872,A.Vidal,31,Chile,85,85,FCBarcelona,205,Right,4,4,3,Normal,CAM,8,71,165,78,78,76,78,81,76,83,79,83,80,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86
101,178518,R.Nainggolan,30,Belgium,85,85,Inter,105,Right,3,3,3,Stocky,CAM,14,69,170,78,81,80,81,83,80,84,83,81,83,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90
144,177388,D.Payet,31,France,84,84,OlympiquedeMarseille,75,Right,3,4,4,Normal,CAM,18,69,170,77,81,82,82,78,82,61,63,50,59,87,78,59,84,77,86,90,84,80,90,75,72,79,75,80,80,48,73,72,82,57,37,79,87,74,82,32,36,39
166,212523,AndersonTalisca,24,Brazil,83,90,GuangzhouEvergrandeTaobaoFC,18,Left,2,4,4,Normal,CAM,24,75,176,80,81,81,81,79,80,69,69,64,67,78,80,77,81,76,82,86,87,79,84,77,76,76,79,65,84,58,76,72,88,67,58,86,81,71,74,55,62,42
208,184942,Giuliano,28,Brazil,83,83,AlNassr,64,Right,2,3,4,Stocky,CAM,77,68,150,77,80,81,81,77,81,65,66,56,62,77,79,59,82,65,84,67,71,79,84,85,79,85,81,85,78,61,82,74,76,71,42,81,80,79,82,49,43,38
254,207494,J.Lingard,25,England,82,83,ManchesterUnited,140,Right,2,3,4,Lean,CAM,7,69,137,78,81,81,81,76,80,67,70,60,67,74,78,64,78,70,83,80,63,66,83,84,82,86,83,86,80,63,87,53,80,73,53,86,82,65,84,65,50,44
263,201400,Rafinha,25,Brazil,82,87,FCBarcelona,165,Left,2,4,4,Normal,CAM,12,69,157,75,79,79,81,79,78,73,73,68,71,72,73,55,86,76,87,75,61,76,84,71,70,80,79,80,79,73,67,66,82,44,70,77,81,67,80,68,74,66
282,191180,J.Pastore,29,Argentina,82,82,Roma,84,Right,3,4,4,Lean,CAM,27,74,172,75,80,80,82,80,79,70,69,61,66,77,73,61,86,78,87,83,69,83,86,69,69,79,78,63,78,49,62,64,76,65,69,78,87,75,80,45,59,51
289,186561,A.Ramsey,27,Wales,82,83,Arsenal,130,Right,3,3,3,Lean,CAM,10,72,168,75,78,77,79,80,78,75,75,69,72,75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67
292,184484,G.Sigur’çsson,28,Iceland,82,82,Everton,125,Right,3,5,3,Normal,CAM,10,73,181,75,78,78,80,80,78,70,70,61,66,86,77,60,84,75,80,87,86,80,85,58,55,68,78,63,83,68,86,68,86,57,55,79,86,79,84,57,57,55
295,184144,N.Gait’çn,30,Argentina,82,82,DalianYiFangFC,22,Left,3,2,4,Lean,CAM,9,68,146,73,79,80,80,75,80,60,64,51,60,80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,57,40,77,82,71,80,35,42,43
302,181291,G.Wijnaldum,27,Netherlands,82,82,Liverpool,130,Right,3,3,4,Lean,CAM,8,69,152,76,79,78,79,80,79,77,76,73,75,67,70,72,84,73,84,76,70,76,84,77,76,80,82,81,76,80,85,72,71,64,76,79,78,74,82,74,75,65
320,230271,LaureSanteiro,30,Brazil,81,81,Fluminense,40,Left,1,5,4,Lean,CAM,8,67,139,72,78,79,80,73,79,53,57,38,51,73,72,44,79,67,82,56,75,80,82,86,78,89,80,88,67,44,67,48,75,41,31,82,80,74,77,29,13,23
325,226456,PabloFornals,22,Spain,81,86,VillarrealCF,36,Right,1,3,4,Normal,CAM,8,70,148,73,78,78,80,80,78,76,75,70,73,74,77,50,84,70,81,63,60,80,81,71,66,79,76,76,75,59,77,67,80,69,74,77,86,46,71,72,74,73
337,212814,Jo’£oM’çrio,25,Portugal,81,84,Inter,71,Right,3,4,4,Normal,CAM,10,70,161,72,76,77,78,78,77,73,73,66,70,77,64,55,83,69,83,74,67,78,83,73,69,81,73,77,76,64,79,68,72,60,72,77,81,66,82,57,70,62
360,200647,J.Ilióçióö,30,Slovenia,81,81,Atalanta,41,Left,3,3,4,Lean,CAM,7,75,174,78,80,79,80,76,78,62,62,52,57,78,78,58,82,80,83,77,84,74,87,67,70,70,80,56,87,33,64,74,87,58,46,80,82,78,80,53,32,26
370,193348,X.Shaqiri,26,Switzerland,81,81,Liverpool,130,Left,3,4,5,Shaqiri,CAM,23,67,159,75,79,80,80,77,80,66,67,55,63,78,71,45,81,76,86,88,84,80,84,84,77,84,80,91,87,52,75,73,84,61,55,74,81,65,82,35,49,48
379,189358,S.Kagawa,29,Japan,81,81,BorussiaDortmund,65,Right,3,4,4,Lean,CAM,23,69,150,70,76,77,79,77,78,66,68,54,64,65,76,48,83,76,86,74,63,72,83,74,60,87,81,88,54,65,82,39,55,30,59,80,80,80,83,56,53,49
380,188988,M.Lanzini,25,Argentina,81,85,WestHamUnited,90,Right,2,3,4,Lean,CAM,10,66,130,72,78,79,79,74,79,55,59,43,54,74,70,56,80,61,87,76,76,78,86,84,78,86,73,89,75,75,73,39,76,48,27,73,79,73,77,27,36,25
402,161956,BorjaValero,33,Spain,81,81,Inter,74,Right,3,4,4,Normal,CAM,20,69,161,71,76,76,80,81,77,74,72,66,69,78,67,60,89,70,85,78,76,85,88,55,52,74,81,80,72,67,69,66,70,52,70,70,86,72,83,65,66,62
