"kclust","Age","Overall","Potential","Wage","InternationalReputation","JerseyNumber","Height","Weight","ST","CF","W","CAM","CM","OM","CDM","WB","CB","FB","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle"
"1",1,27,89,90,145,4,7,69,161,86,87,87,86,80,86,67,70,61,67,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48
"2",1,26,88,91,205,3,10,71,168,79,84,84,86,85,85,71,71,57,66,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22
"3",1,26,86,87,195,3,9,71,168,83,84,83,84,82,83,73,72,67,69,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42
"4",1,28,86,86,135,4,13,73,165,82,82,81,82,79,81,66,68,59,66,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44
"5",1,29,86,86,190,4,10,71,168,75,81,82,84,78,82,56,57,40,52,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19
"6",1,24,85,89,92,3,18,68,165,79,83,84,83,77,83,60,62,50,57,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25
"7",1,31,85,85,205,4,8,71,165,78,78,76,78,81,76,83,79,83,80,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86
"8",1,30,85,85,105,3,14,69,170,78,81,80,81,83,80,84,83,81,83,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90
"9",1,31,84,84,75,3,18,69,170,77,81,82,82,78,82,61,63,50,59,87,78,59,84,77,86,90,84,80,90,75,72,79,75,80,80,48,73,72,82,57,37,79,87,74,82,32,36,39
"10",1,24,83,90,18,2,24,75,176,80,81,81,81,79,80,69,69,64,67,78,80,77,81,76,82,86,87,79,84,77,76,76,79,65,84,58,76,72,88,67,58,86,81,71,74,55,62,42
"11",1,28,83,83,64,2,77,68,150,77,80,81,81,77,81,65,66,56,62,77,79,59,82,65,84,67,71,79,84,85,79,85,81,85,78,61,82,74,76,71,42,81,80,79,82,49,43,38
"12",1,25,82,83,140,2,7,69,137,78,81,81,81,76,80,67,70,60,67,74,78,64,78,70,83,80,63,66,83,84,82,86,83,86,80,63,87,53,80,73,53,86,82,65,84,65,50,44
"13",1,25,82,87,165,2,12,69,157,75,79,79,81,79,78,73,73,68,71,72,73,55,86,76,87,75,61,76,84,71,70,80,79,80,79,73,67,66,82,44,70,77,81,67,80,68,74,66
"14",1,29,82,82,84,3,27,74,172,75,80,80,82,80,79,70,69,61,66,77,73,61,86,78,87,83,69,83,86,69,69,79,78,63,78,49,62,64,76,65,69,78,87,75,80,45,59,51
"15",1,27,82,83,130,3,10,72,168,75,78,77,79,80,78,75,75,69,72,75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67
"16",1,28,82,82,125,3,10,73,181,75,78,78,80,80,78,70,70,61,66,86,77,60,84,75,80,87,86,80,85,58,55,68,78,63,83,68,86,68,86,57,55,79,86,79,84,57,57,55
"17",1,30,82,82,22,3,9,68,146,73,79,80,80,75,80,60,64,51,60,80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,57,40,77,82,71,80,35,42,43
"18",1,27,82,82,130,3,8,69,152,76,79,78,79,80,79,77,76,73,75,67,70,72,84,73,84,76,70,76,84,77,76,80,82,81,76,80,85,72,71,64,76,79,78,74,82,74,75,65
